RF 			  Autoevaluacion
station				1
section				1
line				1
lineLength			1
lineSectionLength		1
lineAddSection			1
line?				0.75
pcar				1
train				1
trainAddCar			1
trainRemoveCar			1
train?				1
trainCapacity			1
driver				1
subway				1
subwayAddTrain			1
subwayAddLine			1
subwayAddDriver			1
subwayToString			1
subwaySetStationStoptime	0
subwayAssingTrainToLine		0
subwayAssignDriverToTrain	0
whereIsTrain			0
subwayTrainPath			0


#####################################


RNF 		 	Autoevaluacion
Autoevaluación			1
Lenguaje			1
Versión				1
Standard			1
No variables			1
Documentación			1
Dom->Rec			1
Organización			1
Historial			1
Script de pruebas		1
Prerequisitos			1
